Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Libya,38.27020695,34.11006445,20.48188976,26.265625,33.12230769,47.33414858,54.96193666,67.51623634,87.14040536,63.0283207,74.7734449,34.69939552,81.87366252,65.50287017,41.14272241,27.84213148,26.19714327,37.88324365,52.60788872
St. Lucia,0.932592593,0.892592593,0.9,0.987407407,1.066666667,1.135555556,1.268319185,1.336088815,1.437731111,1.401507889,1.486758037,1.576988407,1.605146778,1.664816741,1.755130815,1.808079889,1.865513444,1.996771444,2.065127259
Liechtenstein,2.483953103,2.491822707,2.688630823,3.07069132,3.454362686,3.659251526,4.000239273,4.601299567,5.081432924,4.504549214,5.082366478,5.739977477,5.456009385,6.391735894,6.657170923,6.268391521,6.237264055,6.474256119,6.839145107
Sri Lanka,16.33081418,15.7497538,16.53653565,18.88176544,20.66252594,24.40579104,28.27981492,32.35024841,40.71381231,42.06621787,56.72574922,65.29275301,68.43440932,74.31780654,79.35644984,80.60408069,82.40103871,87.42812812,87.96304234
Lesotho,0.887295268,0.825706961,0.775780698,1.157832935,1.511236656,1.682350935,1.80010559,1.682016947,1.766825413,1.740830511,2.234731974,2.579421686,2.477702253,2.36711317,2.441053176,2.359759799,2.114323794,2.306843529,2.514146888
Lithuania,11.52477687,12.237388,14.25978116,18.78172138,22.62750745,26.09767757,30.1835751,39.69789135,47.79755159,37.38812205,37.12869403,43.53505148,42.92745429,46.52342007,48.53365959,41.41887298,43.01808724,47.64077063,53.72466384
Luxembourg,21.17747098,21.36902819,23.53763787,29.60190406,35.00048051,37.65823405,42.87422532,51.52190391,58.60489087,54.25221311,56.15919276,61.615545,59.77980278,65.18474472,68.71329439,60.04743068,62.17465037,65.54986821,71.250209
Latvia,7.958852839,8.362398702,9.557031605,11.77197516,14.43570053,17.00345986,21.5700765,31.05435098,35.85427423,26.41090909,23.95616308,27.47438057,28.16990267,30.20478346,31.34514867,27.25212863,28.06453335,30.4085096,34.41221081
Morocco,38.85725134,39.45958122,42.23683682,52.06405883,59.62602016,62.34302265,68.64082548,79.04129487,92.50725778,92.89732038,93.21674666,101.3704743,98.26630662,106.8256499,110.0812486,101.1798081,103.3116492,109.682728,118.0962274
Moldova,1.288429392,1.480673594,1.661818168,1.980907435,2.598249556,2.988348836,3.408244549,4.401189466,6.054849885,5.439422031,6.974960345,8.414360656,8.709165249,9.496684701,9.510219299,7.74523166,8.071480541,9.669759987,11.4567284
Madagascar,4.629247091,5.438332738,5.351701534,6.37249872,5.064732716,5.859269849,6.395712392,8.524620739,10.72513793,9.616879571,9.982711338,11.55181962,11.57897489,12.42355527,12.52295723,11.32302083,11.84861374,13.17631359,13.7600331
Maldives,0.624337145,0.870030469,0.89703125,1.052121055,1.226829563,1.163362438,1.575200391,1.868383461,2.271646188,2.345294875,2.588176055,2.77435176,2.886170572,3.295011382,3.697351597,4.1094248,4.379136462,4.754175869,5.30096266
Mexico,707.9067446,756.7063006,772.1063789,729.3363197,782.240602,877.4762214,975.3871317,1052.696282,1109.989064,900.0453506,1057.801296,1180.489602,1201.089987,1274.443085,1315.351184,1171.867608,1078.490652,1158.913036,1222.408203
Marshall Islands,0.1153475,0.122824,0.1317382,0.1313985,0.1324402,0.1365595,0.1415158,0.1483467,0.1518989,0.1497696,0.1604071,0.1721885,0.1804363,0.1848404,0.1821428,0.1838143,0.2015109,0.2132041,0.2215889
Mali,2.961476518,3.468327017,3.908139487,4.714051055,5.454228771,6.247496491,6.905876385,8.156532186,9.838404005,10.23203686,10.6891672,12.99511341,12.44203627,13.24269143,14.364938,13.10476433,14.02604869,15.36571437,17.0708663
Malta,4.069515579,4.088368978,4.470446391,5.4484155,6.098092551,6.416184181,6.77832405,7.925371475,9.090406767,8.696366907,9.035932122,9.638916481,9.462238211,10.55166118,11.62628139,11.09143448,11.72152191,13.22129831,14.86471299
Myanmar,6.849321646,6.220271055,6.110633154,7.754647428,9.390855298,10.58843307,11.86301632,15.59118254,23.01301583,29.45516559,37.79605294,54.11860197,58.31867764,60.57225437,63.26489187,63.04530651,60.29173893,61.44939192,67.14472617
Montenegro,0.984297589,1.159869246,1.284685051,1.707710053,2.073234418,2.257174481,2.721903149,3.680711744,4.545674528,4.15933037,4.143033276,4.544516982,4.087725813,4.464260489,4.587928884,4.052913386,4.374128319,4.844592067,5.504166667
Mongolia,1.136896124,1.267997934,1.39655572,1.595297356,1.992066808,2.523471532,3.414055566,4.234999823,5.623216449,4.583850368,7.189481824,10.40979765,12.29277063,12.5821226,12.22651472,11.6198924,11.18135046,11.48084775,13.17809446
Mozambique,5.656473652,5.398568544,5.677003239,6.303391144,7.631120533,8.54207011,9.17688907,10.45084329,12.55619519,11.9144715,11.10464867,14.38155243,16.35080454,16.97432055,17.71608411,15.95096902,11.93699928,13.21908426,14.84587005
